name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 6 SCH ,,6,20.75630227,168.28,5.16,,CHS,ASME B36.10M
CHS 6 SCH ,,6,22.31047411,168.28,5.56,,CHS,ASME B36.10M
CHS 6 SCH ,,6,25.35678063,168.28,6.35,,CHS,ASME B36.10M
CHS 6 SCH 40,CHS 6 SCH STD,6,28.25835514,168.28,7.11,40(STD),CHS,ASME B36.10M
CHS 6 SCH ,,6,31.31946259,168.28,7.92,,CHS,ASME B36.10M
CHS 6 SCH ,,6,34.38540094,168.28,8.74,,CHS,ASME B36.10M
CHS 6 SCH ,,6,37.30780575,168.28,9.53,,CHS,ASME B36.10M
CHS 6 SCH 80,CHS 6 SCH XS,6,42.55553266,168.28,10.97,80(XS),CHS,ASME B36.10M
CHS 6 SCH ,,6,48.72485556,168.28,12.7,,CHS,ASME B36.10M
CHS 6 SCH 120,,6,54.19584178,168.28,14.27,120,CHS,ASME B36.10M
CHS 6 SCH ,,6,59.67996192,168.28,15.88,,CHS,ASME B36.10M
CHS 6 SCH 160,,6,67.55274583,168.28,18.26,160,CHS,ASME B36.10M
CHS 6 SCH 160,,6,70.10422479,168.28,19.05,160,CHS,ASME B36.10M
CHS 6 SCH XXS,,6,79.20652671,168.28,21.95,XXS,CHS,ASME B36.10M
CHS 6 SCH ,,6,80.06341239,168.28,22.23,,CHS,ASME B36.10M
CHS 8 SCH 5,,8,14.77574674,219.08,2.77,5,CHS,ASME B36.10M
CHS 8 SCH ,,8,16.93061892,219.08,3.18,,CHS,ASME B36.10M
CHS 8 SCH 10,,8,19.96481491,219.08,3.76,10,CHS,ASME B36.10M
CHS 8 SCH ,,8,21.00724243,219.08,3.96,,CHS,ASME B36.10M
CHS 8 SCH ,,8,25.26056964,219.08,4.78,,CHS,ASME B36.10M
CHS 8 SCH ,,8,27.22037875,219.08,5.16,,CHS,ASME B36.10M
CHS 8 SCH ,,8,29.27564179,219.08,5.56,,CHS,ASME B36.10M
CHS 8 SCH 20,,8,33.31160343,219.08,6.35,20,CHS,ASME B36.10M
CHS 8 SCH 30,,8,36.81150106,219.08,7.04,30,CHS,ASME B36.10M
CHS 8 SCH ,,8,41.24106835,219.08,7.92,,CHS,ASME B36.10M
CHS 8 SCH 40,CHS 8 SCH STD,8,42.54249492,219.08,8.18,40(STD),CHS,ASME B36.10M
CHS 8 SCH ,,8,45.33424366,219.08,8.74,,CHS,ASME B36.10M
